126, 93, 24
135, 104, 24

124, 91, 25
137, 106, 25

122, 90, 26
140, 107, 26

121, 88, 27
142, 108, 27

121, 87, 28
143, 111, 28

120, 86, 29
143, 111, 29

120, 84, 30
144, 112, 30

120, 83, 31
145, 113, 31

120, 82, 32
145, 114, 32

119, 81, 33
145, 114, 33

120, 81, 34 
146, 114,34

117, 80, 35
146, 115, 35

118, 81, 36
147, 114, 36

118, 81, 37
147, 113, 37

119, 82, 38
148, 114, 38

118, 82, 39 
148, 114, 39

118, 82, 40
148, 114, 40

118, 82, 41
147, 113, 41

118, 83, 42
146, 112, 42

119, 83, 43
145, 111, 43

120, 84, 44
145, 112, 44

120, 83, 45
143, 109, 45

122, 85, 46
145, 105, 46

123, 85, 47
136, 103, 47

124, 88, 48
133, 100, 48
